period,period_end,period_type,reported_basis,revenue_total,ebitda,ebitda_margin,pat,depreciation,finance_cost,tax,other_expenses,employee_cost,material_cost,inventory_change,source_id,source_note,status
Q4FY25,2025-03-31,quarter,standalone,3333.4,1011.2,30.3,583.0,186.3,29.1,212.7,2232.0,144.7,77.2,-131.9,archean-q1fy26-presentation,Derived as FY25 full year minus 9MFY25 reported figures.,derived
Q1FY26,2025-06-30,quarter,standalone,2914.5,958.0,32.9,518.5,198.2,44.6,196.6,1663.6,165.0,144.5,-181.8,archean-q1fy26-presentation,Standalone profit and loss statement.,reported
Q2FY26,2025-09-30,quarter,standalone,2317.8,759.9,32.8,384.6,203.9,45.0,126.4,1503.5,144.2,103.8,-193.6,archean-q2fy26-presentation,Standalone profit and loss statement.,reported
Q3FY26,2025-12-31,quarter,standalone,2608.1,698.6,26.8,343.0,203.7,37.4,114.5,1803.7,150.3,106.4,-151.0,archean-q3fy26-presentation,Standalone profit and loss statement.,reported
FY25,2025-03-31,annual,standalone,10634.5,3721.2,35.0,1849.2,730.6,91.1,648.4,6658.0,539.3,388.8,-672.9,archean-q1fy26-presentation,FY25 standalone annual totals presented in Q1 FY26 deck.,reported
9MFY26,2025-12-31,nine_months,standalone,7840.4,2416.5,30.8,1246.1,605.9,126.9,437.5,4970.9,459.6,354.7,-526.4,archean-q3fy26-presentation,9MFY26 standalone totals.,reported
Q4FY25,2025-03-31,quarter,consolidated,3533.8,961.0,27.2,537.4,211.3,2.8,209.3,2253.4,195.9,228.7,-105.2,archean-q1fy26-presentation,Derived as FY25 full year minus 9MFY25 reported figures.,derived
Q1FY26,2025-06-30,quarter,consolidated,3005.9,863.2,28.7,401.4,229.4,53.8,178.6,1697.4,187.3,340.6,-247.9,archean-q1fy26-presentation,Consolidated profit and loss statement.,reported
Q2FY26,2025-09-30,quarter,consolidated,2395.6,689.8,28.8,290.4,235.5,55.2,108.7,1536.0,168.5,126.7,-125.4,archean-q2fy26-presentation,Consolidated profit and loss statement.,reported
Q3FY26,2025-12-31,quarter,consolidated,2615.2,613.5,23.5,240.0,236.0,44.2,93.3,1838.0,173.0,154.3,-163.6,archean-q3fy26-presentation,Consolidated profit and loss statement.,reported
FY25,2025-03-31,annual,consolidated,10783.0,3514.4,32.6,1621.4,793.8,81.0,616.2,6736.0,610.5,629.4,-707.3,archean-q1fy26-presentation,FY25 consolidated annual totals presented in Q1 FY26 deck.,reported
9MFY26,2025-12-31,nine_months,consolidated,8016.7,2166.5,27.0,931.8,700.9,153.2,380.6,5071.4,528.9,621.5,-536.8,archean-q3fy26-presentation,9MFY26 consolidated totals.,reported
