year,month_if_available,exporter_country,importer_country,trade_value_usd,trade_volume_kg,unit_value_usd_per_ton
2022,,India,World,67478290.0,13261000.0,5088.5
2022,,India,China,65886420.0,13055900.0,5046.5
2022,,India,Singapore,470680.0,93230.0,5048.6
2022,,India,Poland,358710.0,36804.0,9746.5
2022,,India,Germany,341350.0,31851.0,10717.1
2022,,India,Russian Federation,196860.0,24000.0,8202.5
2022,,India,Lithuania,69640.0,6912.0,10075.2
2022,,India,"Other Asia, nes",59000.0,6006.0,9823.5
2022,,India,Hungary,44770.0,3600.0,12436.1
2022,,India,Australia,22450.0,205.0,109512.2
2022,,India,Brazil,16590.0,1260.0,13166.7
2022,,India,Spain,6010.0,120.0,50083.3
2022,,India,Canada,3900.0,396.0,9848.5
2022,,India,"Congo, Rep.",950.0,558.0,1702.5
2022,,India,Malaysia,340.0,90.0,3777.8
2022,,India,Bhutan,270.0,12.0,22500.0
2022,,India,Botswana,170.0,10.0,17000.0
2022,,India,Nepal,160.0,28.0,5714.3
2022,,India,Ghana,30.0,1.0,30000.0
2022,,World,India,45765200.0,8116860.0,5638.3
2022,,Jordan,India,23851480.0,4410650.0,5407.7
2022,,Israel,India,15420610.0,2742860.0,5622.1
2022,,United Kingdom,India,2310360.0,340000.0,6795.2
2022,,Netherlands,India,1789260.0,240600.0,7436.7
2022,,China,India,1302110.0,173008.0,7526.3
2022,,Belgium,India,653310.0,87610.0,7457.0
2022,,United States,India,437240.0,122099.0,3581.0
2022,,Japan,India,720.0,24.0,30000.0
2022,,Germany,India,110.0,5.0,22000.0
2022,,Israel,World,208588000.0,56835600.0,3670.0
2022,,Jordan,World,105956590.0,,
2022,,India,World,67478290.0,13261000.0,5088.5
2022,,Japan,World,29457280.0,,
2022,,United States,World,15611680.0,3801060.0,4107.2
2022,,Netherlands,World,6231010.0,578890.0,10763.7
2022,,United Kingdom,World,5646480.0,,
2022,,Belgium,World,3442210.0,2853250.0,1206.4
2022,,European Union,World,2927960.0,422083.0,6936.9
2022,,Malaysia,World,1660520.0,118041.0,14067.3
2022,,France,World,1605060.0,197037.0,8146.0
2022,,"Korea, Rep.",World,1188740.0,9785.0,121485.9
2022,,Singapore,World,1122510.0,29540.0,37999.7
2022,,Germany,World,866470.0,45224.0,19159.5
2022,,South Africa,World,670090.0,176817.0,3789.7
2022,,Ethiopia(excludes Eritrea),World,360090.0,120000.0,3000.8
2022,,Spain,World,109830.0,10160.0,10810.0
2022,,Poland,World,102120.0,2082.0,49049.0
2022,,Lithuania,World,67170.0,3458.0,19424.5
2022,,Canada,World,60640.0,14615.0,4149.2
2022,,Italy,World,56510.0,14352.0,3937.4
2022,,Morocco,World,46690.0,320400.0,145.7
2022,,Hungary,World,46060.0,1820.0,25307.7
2022,,Saudi Arabia,World,38160.0,16000.0,2385.0
2022,,Australia,World,33560.0,19885.0,1687.7
2022,,Slovenia,World,18680.0,1034.0,18065.8
2022,,Czech Republic,World,17830.0,46.0,387608.7
2022,,United Arab Emirates,World,8770.0,2221.0,3948.7
2022,,Switzerland,World,5590.0,370.0,15108.1
2022,,Austria,World,2600.0,50.0,52000.0
2022,,Sweden,World,2570.0,,
2022,,Turkey,World,2340.0,177.0,13220.3
2022,,"Other Asia, nes",World,2080.0,10.0,208000.0
2022,,Vietnam,World,1600.0,,
2022,,Botswana,World,1230.0,60.0,20500.0
2022,,Indonesia,World,1000.0,4.0,250000.0
2022,,Croatia,World,720.0,5.0,144000.0
2022,,Kenya,World,660.0,158.0,4177.2
2022,,Ireland,World,570.0,24.0,23750.0
2022,,Norway,World,290.0,9.0,32222.2
2022,,Slovak Republic,World,250.0,3.0,83333.3
2022,,"Serbia, FR(Serbia/Montenegro)",World,210.0,26.0,8076.9
2022,,Denmark,World,180.0,10.0,18000.0
2022,,Finland,World,90.0,,
2022,,Papua New Guinea,World,70.0,3.0,23333.3
2022,,Portugal,World,20.0,1.0,20000.0
2023,,India,World,24284850.0,7407260.0,3278.5
2023,,India,China,23389640.0,7271050.0,3216.8
2023,,India,Poland,213380.0,26448.0,8067.9
2023,,India,Japan,197490.0,53820.0,3669.5
