year,month_if_available,exporter_country,importer_country,trade_value_usd,trade_volume_kg,unit_value_usd_per_ton
2022,,India,World,311736290.0,13254200000.0,23.5
2022,,India,China,132288329.99999999,5772730000.0,22.9
2022,,India,"Korea, Rep.",32801000.0,1997360000.0,16.4
2022,,India,Japan,20266870.0,1218120000.0,16.6
2022,,India,Qatar,20015100.0,745815000.0,26.8
2022,,India,Bangladesh,17286550.0,595966000.0,29.0
2022,,India,Vietnam,16138570.0,565053000.0,28.6
2022,,India,Indonesia,14490690.0,762745000.0,19.0
2022,,India,Nepal,12142920.0,253853000.0,47.8
2022,,India,Malaysia,8518150.0,155962000.0,54.6
2022,,India,"Other Asia, nes",6509610.0,384180000.0,16.9
2022,,India,Oman,4782000.0,182239000.0,26.2
2022,,India,United Arab Emirates,3586690.0,114588000.0,31.3
2022,,India,Thailand,3573070.0,149965000.0,23.8
2022,,India,Tanzania,2744230.0,137986000.0,19.9
2022,,India,Singapore,2059050.0000000002,65220800.0,31.6
2022,,India,United States,1654040.0,1447850.0,1142.4
2022,,India,Seychelles,1641150.0,24393300.0,67.3
2022,,India,Cambodia,1237230.0,19876600.0,62.2
2022,,India,Kuwait,1137030.0,45383300.0,25.1
2022,,India,"Congo, Rep.",905340.0,9627830.0,94.0
2022,,India,United Kingdom,786370.0,1358660.0,578.8
2022,,India,Australia,774660.0,1764510.0,439.0
2022,,India,Bhutan,663640.0,6072560.0,109.3
2022,,India,Bahrain,588300.0,5714730.0,102.9
2022,,India,Canada,529420.0,774325.0,683.7
2022,,India,East Timor,514419.99999999994,3857050.0,133.4
2022,,India,Sierra Leone,476180.0,5032320.0,94.6
2022,,India,Maldives,464730.0,3378420.0,137.6
2022,,India,Liberia,433250.0,4039920.0,107.2
2022,,India,Fiji,386110.0,3381190.0,114.2
2022,,India,Sri Lanka,251410.0,339529.0,740.5
2022,,India,Equatorial Guinea,173290.0,1673640.0,103.5
2022,,India,France,169760.0,1706300.0,99.5
2022,,India,Saudi Arabia,120000.0,318148.0,377.2
2022,,India,Brunei,112210.0,1644350.0,68.2
2022,,India,Kenya,101130.0,435446.0,232.2
2022,,India,Papua New Guinea,96990.0,1455310.0,66.6
2022,,India,New Zealand,91110.0,221403.0,411.5
2022,,India,Mauritius,83500.0,884167.0,94.4
2022,,India,Ghana,83110.0,935973.0,88.8
2022,,India,Netherlands,76350.0,86228.0,885.4
2022,,India,Vanuatu,66620.0,740500.0,90.0
2022,,India,Philippines,65680.0,468114.0,140.3
2022,,India,"Congo, Dem. Rep.",58490.0,403341.0,145.0
2022,,India,Solomon Islands,56430.0,676000.0,83.5
2022,,India,Benin,48680.0,512288.0,95.0
2022,,India,Jordan,39420.0,104773.0,376.2
2022,,India,Cote d'Ivoire,38100.0,407081.0,93.6
2022,,India,Angola,37080.0,361702.0,102.5
2022,,India,"Hong Kong, China",36620.0,71048.0,515.4
2022,,India,"Egypt, Arab Rep.",32840.0,56341.0,582.9
2022,,India,Trinidad and Tobago,30940.0,35580.0,869.6
2022,,India,Samoa,27570.0,356100.0,77.4
2022,,India,Somalia,24160.0,116400.0,207.6
2022,,India,Guinea,23650.0,210175.0,112.5
2022,,India,Finland,23110.0,10998.0,2101.3
2022,,India,Russian Federation,21330.0,41371.0,515.6
2022,,India,Nigeria,21130.0,48002.0,440.2
2022,,India,Gabon,20860.0,220541.0,94.6
2022,,India,Germany,17170.0,23680.0,725.1
2022,,India,South Africa,16520.0,36879.0,448.0
2022,,India,New Caledonia,14550.0,98400.0,147.9
2022,,India,Rwanda,13860.0,336000.0,41.2
